                         station      t_min    t_avg    t_max    s_min    s_avg    s_max    o_min    o_avg    o_max    u_min    u_avg    u_max
any_name1                            10.964   11.259   11.477   16.465   16.625   16.837  307.439  308.300  309.675    0.081    0.163    0.236
any_name2                            11.387   11.485   11.590   16.413   16.721   16.916  306.052  306.843  307.402    0.084    0.250    0.332
